2014-05-16 15:25:30 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/Applications/MAMP/htdocs/svtour/cake/libs/class_registry.php, line 142]
2014-05-16 15:25:32 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/Applications/MAMP/htdocs/svtour/cake/libs/class_registry.php, line 142]
2014-05-16 15:25:39 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/Applications/MAMP/htdocs/svtour/cake/libs/class_registry.php, line 142]
2014-05-16 15:26:04 Notice: Notice (8): Use of undefined constant VALID_NOT_EMPTY - assumed 'VALID_NOT_EMPTY' in [/Applications/MAMP/htdocs/svtour/cake/libs/class_registry.php, line 142]
2014-05-17 23:46:34 Notice: Notice (8): Undefined variable: flash in [/Applications/MAMP/htdocs/svtour/svt/views/elements/flash.ctp, line 2]
2014-05-17 23:53:05 Notice: Notice (8): Undefined index:  class in [/Applications/MAMP/htdocs/svtour/svt/views/elements/flash.ctp, line 3]
2014-05-18 13:52:18 Notice: Notice (8): Undefined property: Usuario::$errors in [/Applications/MAMP/htdocs/svtour/svt/controllers/usuarios_controller.php, line 63]
2014-05-18 17:15:41 Notice: Notice (8): Undefined index:  class in [/Applications/MAMP/htdocs/svtour/svt/views/elements/flash.ctp, line 3]
2014-05-18 17:16:16 Notice: Notice (8): Undefined index:  class in [/Applications/MAMP/htdocs/svtour/svt/views/elements/flash.ctp, line 3]
2014-05-18 17:16:22 Notice: Notice (8): Undefined index:  class in [/Applications/MAMP/htdocs/svtour/svt/views/elements/flash.ctp, line 3]
2014-05-18 17:33:43 Notice: Notice (8): Undefined index:  ProgramasCircuitos in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 15]
2014-05-18 17:33:43 Notice: Notice (8): Undefined index:  ProgramasCircuitos in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 17]
2014-05-18 17:33:43 Notice: Notice (8): Undefined index:  ProgramasCircuitos in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 20]
2014-05-18 17:33:43 Notice: Notice (8): Undefined index:  ProgramasCircuitos in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 21]
2014-05-18 17:39:53 Notice: Notice (8): Undefined variable: parentArray in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/add.ctp, line 15]
2014-05-18 17:40:05 Notice: Notice (8): Undefined variable: parentArray in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/add.ctp, line 15]
2014-05-18 17:55:08 Notice: Notice (8): Undefined variable: lista_programas_y_cirtuitos in [/Applications/MAMP/htdocs/svtour/svt/controllers/programas_circuitos_controller.php, line 22]
2014-05-18 17:58:04 Notice: Notice (8): Undefined variable: lista_programas_y_cirtuitos in [/Applications/MAMP/htdocs/svtour/svt/controllers/programas_circuitos_controller.php, line 23]
2014-05-18 18:13:16 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:23 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:26 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:28 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:30 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:31 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:33 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:34 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:13:50 Notice: Notice (8): Undefined index:  parent_id in [/Applications/MAMP/htdocs/svtour/cake/libs/model/model.php, line 2352]
2014-05-18 18:20:18 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:20:21 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:20:23 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:23:07 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:23:09 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:23:10 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:23:44 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:24:12 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:24:17 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:24:17 Notice: Notice (8): Undefined offset:  1 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 8]
2014-05-18 18:24:22 Notice: Notice (8): Undefined variable: data in [/Applications/MAMP/htdocs/svtour/svt/views/programas_circuitos/index.ctp, line 4]
2014-05-18 18:24:22 Notice: Notice (8): Undefined offset:  1 in [/Applications/MAMP/htdocs/svtour/svt/views/helpers/tree.php, line 8]
